fecha,hora,central,mwh
2024-01-01,13,Eolica Loma Larga,35.91
2024-01-01,13,Eolica Vientos del Sur,142.00
2024-01-01,13,Termoelectrica Bahia Norte,189.36
2024-01-01,13,Termoelectrica Valle Central,172.76
2024-01-01,13,Termoelectrica Puerto Nuevo,294.56
2024-01-01,13,Termoelectrica Costa Brava,372.61
2024-01-01,13,Termoelectrica Peninsula Gris,190.15
2024-01-01,13,Diesel Respaldo Cordillera,0.00
2024-01-01,14,Central Rio Manso Alto,261.70
2024-01-01,14,Central Salto del Pehuen,210.63
2024-01-01,14,Central Quebrada Azul,105.73
2024-01-01,14,Central Lago Ventisquero,69.66
2024-01-01,14,Central Vega Escondida,158.73
2024-01-01,14,Parque Solar Pampa Alta,198.72
2024-01-01,14,Parque Solar Llano Blanco,134.06
2024-01-01,14,Parque Solar Salar Nuevo,177.60
2024-01-01,14,Parque Solar Cerro Dorado,96.35
2024-01-01,14,Parque Solar Media Luna,59.20
2024-01-01,14,Eolica Cerro Negro,24.65
2024-01-01,14,Eolica Punta Ventosa,17.27
2024-01-01,14,Eolica Loma Larga,18.51
2024-01-01,14,Eolica Vientos del Sur,142.00
2024-01-01,14,Termoelectrica Bahia Norte,196.59
2024-01-01,14,Termoelectrica Valle Central,177.30
2024-01-01,14,Termoelectrica Puerto Nuevo,281.41
2024-01-01,14,Termoelectrica Costa Brava,376.66
2024-01-01,14,Termoelectrica Peninsula Gris,186.36
2024-01-01,14,Diesel Respaldo Cordillera,0.00
2024-01-01,15,Central Rio Manso Alto,266.04
2024-01-01,15,Central Salto del Pehuen,177.01
2024-01-01,15,Central Quebrada Azul,107.63
2024-01-01,15,Central Lago Ventisquero,69.50
2024-01-01,15,Central Vega Escondida,162.19
2024-01-01,15,Parque Solar Pampa Alta,181.22
2024-01-01,15,Parque Solar Llano Blanco,122.26
2024-01-01,15,Parque Solar Salar Nuevo,161.97
2024-01-01,15,Parque Solar Cerro Dorado,87.87
2024-01-01,15,Parque Solar Media Luna,53.99
2024-01-01,15,Eolica Cerro Negro,3.57
2024-01-01,15,Eolica Punta Ventosa,21.85
2024-01-01,15,Eolica Loma Larga,27.61
2024-01-01,15,Eolica Vientos del Sur,142.00
2024-01-01,15,Termoelectrica Bahia Norte,183.52
2024-01-01,15,Termoelectrica Valle Central,171.52
2024-01-01,15,Termoelectrica Puerto Nuevo,293.73
2024-01-01,15,Termoelectrica Costa Brava,372.68
2024-01-01,15,Termoelectrica Peninsula Gris,194.28
2024-01-01,15,Diesel Respaldo Cordillera,0.00
2024-01-01,16,Central Rio Manso Alto,265.09
2024-01-01,16,Central Salto del Pehuen,190.30
2024-01-01,16,Central Quebrada Azul,106.91
2024-01-01,16,Central Lago Ventisquero,62.50
2024-01-01,16,Central Vega Escondida,153.39
2024-01-01,16,Parque Solar Pampa Alta,153.19
2024-01-01,16,Parque Solar Llano Blanco,103.35
2024-01-01,16,Parque Solar Salar Nuevo,136.92
2024-01-01,16,Parque Solar Cerro Dorado,74.28
2024-01-01,16,Parque Solar Media Luna,45.64
2024-01-01,16,Eolica Cerro Negro,3.58
2024-01-01,16,Eolica Punta Ventosa,24.53
2024-01-01,16,Eolica Loma Larga,63.34
2024-01-01,16,Eolica Vientos del Sur,142.00
2024-01-01,16,Termoelectrica Bahia Norte,183.62
2024-01-01,16,Termoelectrica Valle Central,159.11
2024-01-01,16,Termoelectrica Puerto Nuevo,277.72
2024-01-01,16,Termoelectrica Costa Brava,365.98
2024-01-01,16,Termoelectrica Peninsula Gris,195.75
2024-01-01,16,Diesel Respaldo Cordillera,0.00
2024-01-01,17,Central Rio Manso Alto,281.58
2024-01-01,17,Central Salto del Pehuen,195.34
2024-01-01,17,Central Quebrada Azul,107.31
2024-01-01,17,Central Lago Ventisquero,67.51
2024-01-01,17,Central Vega Escondida,152.56
2024-01-01,17,Parque Solar Pampa Alta,116.26
2024-01-01,17,Parque Solar Llano Blanco,78.43
2024-01-01,17,Parque Solar Salar Nuevo,103.91
2024-01-01,17,Parque Solar Cerro Dorado,56.37
2024-01-01,17,Parque Solar Media Luna,34.64
2024-01-01,17,Eolica Cerro Negro,3.57
2024-01-01,17,Eolica Punta Ventosa,37.88
2024-01-01,17,Eolica Loma Larga,68.23
2024-01-01,17,Eolica Vientos del Sur,127.91
2024-01-01,17,Termoelectrica Bahia Norte,199.15
2024-01-01,17,Termoelectrica Valle Central,171.59
2024-01-01,17,Termoelectrica Puerto Nuevo,281.54
2024-01-01,17,Termoelectrica Costa Brava,362.84
2024-01-01,17,Termoelectrica Peninsula Gris,185.60
2024-01-01,17,Diesel Respaldo Cordillera,0.00
2024-01-01,18,Central Rio Manso Alto,257.29
2024-01-01,18,Central Salto del Pehuen,194.72
2024-01-01,18,Central Quebrada Azul,104.09
2024-01-01,18,Central Lago Ventisquero,66.23
2024-01-01,18,Central Vega Escondida,153.95
2024-01-01,18,Parque Solar Pampa Alta,72.57
2024-01-01,18,Parque Solar Llano Blanco,48.96
2024-01-01,18,Parque Solar Salar Nuevo,64.86
2024-01-01,18,Parque Solar Cerro Dorado,35.19
2024-01-01,18,Parque Solar Media Luna,21.62
2024-01-01,18,Eolica Cerro Negro,3.55
2024-01-01,18,Eolica Punta Ventosa,38.43
2024-01-01,18,Eolica Loma Larga,62.15
2024-01-01,18,Eolica Vientos del Sur,128.19
2024-01-01,18,Termoelectrica Bahia Norte,189.90
2024-01-01,18,Termoelectrica Valle Central,168.06
2024-01-01,18,Termoelectrica Puerto Nuevo,286.29
2024-01-01,18,Termoelectrica Costa Brava,375.45
2024-01-01,18,Termoelectrica Peninsula Gris,186.16
2024-01-01,18,Diesel Respaldo Cordillera,21.61
2024-01-01,19,Central Rio Manso Alto,266.13
2024-01-01,19,Central Salto del Pehuen,183.89
2024-01-01,19,Central Quebrada Azul,112.23
2024-01-01,19,Central Lago Ventisquero,64.85
2024-01-01,19,Central Vega Escondida,149.37
2024-01-01,19,Parque Solar Pampa Alta,24.67
2024-01-01,19,Parque Solar Llano Blanco,16.64
2024-01-01,19,Parque Solar Salar Nuevo,22.05
2024-01-01,19,Parque Solar Cerro Dorado,11.96
2024-01-01,19,Parque Solar Media Luna,7.35
2024-01-01,19,Eolica Cerro Negro,3.50
2024-01-01,19,Eolica Punta Ventosa,41.16
2024-01-01,19,Eolica Loma Larga,71.89
2024-01-01,19,Eolica Vientos del Sur,110.88
2024-01-01,19,Termoelectrica Bahia Norte,179.41
2024-01-01,19,Termoelectrica Valle Central,173.51
2024-01-01,19,Termoelectrica Puerto Nuevo,272.34
2024-01-01,19,Termoelectrica Costa Brava,390.31
2024-01-01,19,Termoelectrica Peninsula Gris,192.21
2024-01-01,19,Diesel Respaldo Cordillera,22.32
2024-01-01,20,Central Rio Manso Alto,264.23
2024-01-01,20,Central Salto del Pehuen,190.69
2024-01-01,20,Central Quebrada Azul,110.78
2024-01-01,20,Central Lago Ventisquero,69.93
2024-01-01,20,Central Vega Escondida,140.74
2024-01-01,20,Parque Solar Pampa Alta,0.00
2024-01-01,20,Parque Solar Llano Blanco,0.00
2024-01-01,20,Parque Solar Salar Nuevo,0.00
2024-01-01,20,Parque Solar Cerro Dorado,0.00
2024-01-01,20,Parque Solar Media Luna,0.00
2024-01-01,20,Eolica Cerro Negro,3.44
2024-01-01,20,Eolica Punta Ventosa,21.65
2024-01-01,20,Eolica Loma Larga,66.57
2024-01-01,20,Eolica Vientos del Sur,86.56
2024-01-01,20,Termoelectrica Bahia Norte,195.59
2024-01-01,20,Termoelectrica Valle Central,171.46
2024-01-01,20,Termoelectrica Puerto Nuevo,277.89
2024-01-01,20,Termoelectrica Costa Brava,393.93
2024-01-01,20,Termoelectrica Peninsula Gris,191.31
2024-01-01,20,Diesel Respaldo Cordillera,23.55
2024-01-01,21,Central Rio Manso Alto,278.34
2024-01-01,21,Central Salto del Pehuen,182.26
2024-01-01,21,Central Quebrada Azul,114.81
2024-01-01,21,Central Lago Ventisquero,66.14
2024-01-01,21,Central Vega Escondida,153.91
2024-01-01,21,Parque Solar Pampa Alta,0.00
2024-01-01,21,Parque Solar Llano Blanco,0.00
2024-01-01,21,Parque Solar Salar Nuevo,0.00
2024-01-01,21,Parque Solar Cerro Dorado,0.00
2024-01-01,21,Parque Solar Media Luna,0.00
2024-01-01,21,Eolica Cerro Negro,3.37
2024-01-01,21,Eolica Punta Ventosa,2.61
2024-01-01,21,Eolica Loma Larga,63.67
2024-01-01,21,Eolica Vientos del Sur,89.29
2024-01-01,21,Termoelectrica Bahia Norte,188.91
2024-01-01,21,Termoelectrica Valle Central,169.51
2024-01-01,21,Termoelectrica Puerto Nuevo,284.91
2024-01-01,21,Termoelectrica Costa Brava,382.73
2024-01-01,21,Termoelectrica Peninsula Gris,190.40
2024-01-01,21,Diesel Respaldo Cordillera,26.10
2024-01-01,22,Central Rio Manso Alto,272.16
2024-01-01,22,Central Salto del Pehuen,197.63
2024-01-01,22,Central Quebrada Azul,113.17
2024-01-01,22,Central Lago Ventisquero,63.95
2024-01-01,22,Central Vega Escondida,143.14
2024-01-01,22,Parque Solar Pampa Alta,0.00
2024-01-01,22,Parque Solar Llano Blanco,0.00
2024-01-01,22,Parque Solar Salar Nuevo,0.00
2024-01-01,22,Parque Solar Cerro Dorado,0.00
2024-01-01,22,Parque Solar Media Luna,0.00
2024-01-01,22,Eolica Cerro Negro,3.29
2024-01-01,22,Eolica Punta Ventosa,2.55
2024-01-01,22,Eolica Loma Larga,56.08
2024-01-01,22,Eolica Vientos del Sur,100.77
2024-01-01,22,Termoelectrica Bahia Norte,183.69
2024-01-01,22,Termoelectrica Valle Central,159.10
2024-01-01,22,Termoelectrica Puerto Nuevo,267.95
2024-01-01,22,Termoelectrica Costa Brava,375.85
2024-01-01,22,Termoelectrica Peninsula Gris,188.49
2024-01-01,22,Diesel Respaldo Cordillera,24.35
2024-01-01,23,Central Rio Manso Alto,257.77
2024-01-01,23,Central Salto del Pehuen,197.68
2024-01-01,23,Central Quebrada Azul,110.16
2024-01-01,23,Central Lago Ventisquero,63.86
2024-01-01,23,Central Vega Escondida,139.82
2024-01-01,23,Parque Solar Pampa Alta,0.00
2024-01-01,23,Parque Solar Llano Blanco,0.00
2024-01-01,23,Parque Solar Salar Nuevo,0.00
2024-01-01,23,Parque Solar Cerro Dorado,0.00
2024-01-01,23,Parque Solar Media Luna,0.00
2024-01-01,23,Eolica Cerro Negro,3.20
2024-01-01,23,Eolica Punta Ventosa,2.48
2024-01-01,23,Eolica Loma Larga,57.68
2024-01-01,23,Eolica Vientos del Sur,107.78
2024-01-01,23,Termoelectrica Bahia Norte,182.21
2024-01-01,23,Termoelectrica Valle Central,163.27
2024-01-01,23,Termoelectrica Puerto Nuevo,285.49
2024-01-01,23,Termoelectrica Costa Brava,372.85
2024-01-01,23,Termoelectrica Peninsula Gris,173.98
2024-01-01,23,Diesel Respaldo Cordillera,0.00
2024-01-02,0,Central Rio Manso Alto,263.60
2024-01-02,0,Central Salto del Pehuen,182.76
2024-01-02,0,Central Quebrada Azul,107.53
2024-01-02,0,Central Lago Ventisquero,67.97
2024-01-02,0,Central Vega Escondida,154.05
2024-01-02,0,Parque Solar Pampa Alta,0.00
2024-01-02,0,Parque Solar Llano Blanco,0.00
2024-01-02,0,Parque Solar Salar Nuevo,0.00
2024-01-02,0,Parque Solar Cerro Dorado,0.00
2024-01-02,0,Parque Solar Media Luna,0.00
2024-01-02,0,Eolica Cerro Negro,3.20
2024-01-02,0,Eolica Punta Ventosa,2.48
2024-01-02,0,Eolica Loma Larga,55.79
2024-01-02,0,Eolica Vientos del Sur,92.43
2024-01-02,0,Termoelectrica Bahia Norte,205.75
2024-01-02,0,Termoelectrica Valle Central,199.27
2024-01-02,0,Termoelectrica Puerto Nuevo,277.65
2024-01-02,0,Termoelectrica Costa Brava,358.98
2024-01-02,0,Termoelectrica Peninsula Gris,194.40
2024-01-02,0,Diesel Respaldo Cordillera,0.00
2024-01-02,1,Central Rio Manso Alto,267.24
2024-01-02,1,Central Salto del Pehuen,196.09
2024-01-02,1,Central Quebrada Azul,106.10
2024-01-02,1,Central Lago Ventisquero,68.14
2024-01-02,1,Central Vega Escondida,149.67
2024-01-02,1,Parque Solar Pampa Alta,0.00
2024-01-02,1,Parque Solar Llano Blanco,0.00
2024-01-02,1,Parque Solar Salar Nuevo,0.00
2024-01-02,1,Parque Solar Cerro Dorado,0.00
2024-01-02,1,Parque Solar Media Luna,0.00
2024-01-02,1,Eolica Cerro Negro,3.20
2024-01-02,1,Eolica Punta Ventosa,2.48
2024-01-02,1,Eolica Loma Larga,54.98
2024-01-02,1,Eolica Vientos del Sur,100.45
2024-01-02,1,Termoelectrica Bahia Norte,200.86
2024-01-02,1,Termoelectrica Valle Central,181.85
2024-01-02,1,Termoelectrica Puerto Nuevo,286.53
2024-01-02,1,Termoelectrica Costa Brava,378.08
2024-01-02,1,Termoelectrica Peninsula Gris,202.99
2024-01-02,1,Diesel Respaldo Cordillera,0.00
2024-01-02,2,Central Rio Manso Alto,271.54
2024-01-02,2,Central Salto del Pehuen,185.50
2024-01-02,2,Central Quebrada Azul,104.54
2024-01-02,2,Central Lago Ventisquero,70.16
2024-01-02,2,Central Vega Escondida,147.51
2024-01-02,2,Parque Solar Pampa Alta,0.00
2024-01-02,2,Parque Solar Llano Blanco,0.00
2024-01-02,2,Parque Solar Salar Nuevo,0.00
2024-01-02,2,Parque Solar Cerro Dorado,0.00
2024-01-02,2,Parque Solar Media Luna,0.00
2024-01-02,2,Eolica Cerro Negro,3.20
